capture_timestamp,payer_zip,payer_state,payer_country,payee_zip,payee_state,payee_country
1412207786,13733,NY,US,20912,MD,US
1412207786,2893,,US,2893,RI,US
1412207787,92308,CA,US,NULL,NULL,NULL
1412207787,L4J7Y2,ON,CA,10128,NY,US
1412207787,14807,NY,US,14533,NY,US
1412207789,92027,,US,92116,CA,US
1412207789,46809,,US,46783,IN,US
1412207790,24069,VA,US,24540,VA,US
1412207790,85635,AZ,US,NULL,NULL,NULL
1412207790,85016,AZ,US,85009,AZ,US
1412207791,37172,TN,US,46122,IN,US
1412207792,37122,TN,US,75229,TX,US
1412207795,63178,IL,US,NULL,NULL,NULL
1412207798,14424,NY,US,14425,NY,US
1412207799,12839,NY,US,34748,FL,US
1412207799,820,,VI,820,VI,US
1412207799,95608,CA,US,95610,CA,US
1412207800,60044,IL,US,12498,NY,US
1412207801,55423,IA,US,50072,IA,US
1412207801,78737,,US,79761,TX,US
1412207805,30067,GA,US,37334,TN,US
1412207807,92027,,US,55313,MN,US
1412207815,8330,NJ,US,8270,NJ,US
1412207825,6461,CT,US,6401,CT,US
1412207825,1569,MA,US,1590,MA,US
1412207825,8753,NJ,US,8527,NJ,US
1412207826,40601,KY,US,33823,FL,US
1412207826,93458,,US,93455,CA,US
1412207829,57186,OH,US,97005,OR,US
1412207832,L2G7H7,ON,CA,P6C3E1,ON,CA
1412207833,94561,CA,US,94708,CA,US
1412207834,28804,,US,28801,NC,US
1412207834,30093,GA,US,30052,GA,US
1412207834,60560,IL,US,60544,IL,US
1412207834,7036,,US,NULL,NULL,NULL
1412207835,60660,,US,48166,MI,US
1412207836,62221,IL,US,29405,SC,US
1412207837,6606,CT,US,6610,CT,US
1412207838,92071,CA,US,NULL,NULL,NULL
1412207838,28173,NC,US,28079,NC,US
1412207838,112162921,NY,US,11201,NY,US
1412207839,60655,IL,US,19010,PA,US
1412207840,60614,IL,US,60532,IL,US
1412207840,11757,,US,7701,NJ,US
1412207840,1752,MA,US,1752,MA,US
1412207841,95307,,US,95833,CA,US
1412207843,53403-4238,,US,7701,NJ,US
1412207843,60607,IL,US,62521,IL,US
1412207844,12550,NC,US,27545,NC,US
1412207845,78737,,US,55313,MN,US
1412207845,60660,,US,55313,MN,US
1412207845,78641,TX,US,78727,TX,US
1412207847,62549,IL,US,62521,IL,US
1412207848,90024,CA,US,43528,OH,US
1412207848,66048,KS,US,33823,FL,US
1412207849,83140,Sonora,MX,85086,AZ,US
1412207850,91604,CA,US,46143,IN,US
1412207851,15206,PA,US,NULL,NULL,NULL
1412207851,7208,NJ,US,NULL,NULL,NULL
1412207852,CV379EB,ENG,GB,32824,FL,US
1412207852,42276,KY,US,42240,KY,US
1412207852,92116,CA,US,92105,CA,US
1412207854,P0M1B0,ON,CA,P3Y1G1,ON,CA
1412207855,78254,,US,78254,TX,US
1412207856,62522,IL,US,62521,IL,US
1412207857,74036,OK,US,64014,MO,US
1412207859,75024,TX,US,75023,TX,US
1412207861,97202,,US,NULL,NULL,NULL
1412207862,32091,,US,33181,FL,US
1412207862,54220,WI,US,54216,WI,US
1412207862,80010,CO,US,44615,OH,US
1412207863,76273,TX,US,76209,TX,US
1412207864,N5Y2X3,ON,CA,M5T2Y4,ON,CA
1412207864,92123,CA,US,96150,CA,US
1412207865,54639,TX,US,78753,TX,US
1412207867,35080,AL,US,NULL,NULL,NULL
1412207870,7628,NJ,US,R2V3R5,MB,CA
1412207870,85048,AZ,US,92065,CA,US
1412207871,97202,,US,55313,MN,US
1412207877,23875,VA,US,23875,VA,US
1412207885,94560,CA,US,95062,CA,US
1412207885,85281,AZ,US,85009,AZ,US
1412207885,35016,AL,US,35756,AL,US
1412207885,66061,KS,US,62521,IL,US
1412207887,40150,KY,US,40299,KY,US
1412207888,21740,MD,US,25404,WV,US
1412207889,33578,FL,US,33823,FL,US
1412207889,L1N7X5,ON,CA,33823,FL,US
1412207891,35475,AL,US,33823,FL,US
1412207892,8060,,US,90620,CA,US
1412207893,11568,NY,US,48067,MI,US
1412207894,33160,FL,US,33016,FL,US
1412207894,1902,MA,US,3103,NH,US
1412207894,32128,,US,35071,AL,US
1412207894,35217,AL,US,35235,AL,US
1412207894,43326,OH,US,43011,OH,US
1412207895,75650,TX,US,20758,MD,US
1412207895,43230,OH,US,45331,OH,US
1412207895,34787,FL,US,34761,FL,US
1412207898,68821,NE,US,68822,NE,US
1412207898,70769,LA,US,70815,LA,US
1412207900,85710,,US,92706,CA,US
1412207902,11787,NY,US,11787,NY,US
1412207903,61856,IL,US,NULL,NULL,NULL
1412207904,20707,MD,US,8831,NJ,US
1412207905,32128,,US,55313,MN,US
1412207905,33023,FL,US,33167,FL,US
1412207906,93230,CA,US,77479,TX,US
1412207906,90807,CA,US,90814,CA,US
1412207906,12180,NY,US,12180,NY,US
1412207906,49684,,US,36064,AL,US
1412207906,33467,,US,34237,FL,US
1412207907,98290,WA,US,98258,WA,US
1412207907,92109,CA,US,NULL,NULL,NULL
1412207908,N1E0B5,ON,CA,59803,MT,US
1412207909,75692,TX,US,22102,VA,US
1412207912,19345,PA,US,22102,VA,US
1412207914,29678,SC,US,28092,NC,US
1412207943,29730,SC,US,48174,MI,US
1412207946,60120,IL,US,60177,IL,US
1412207946,8527,NJ,US,8527,NJ,US
1412207947,55068,MN,US,55068,MN,US
1412207947,55068,MN,US,55068,MN,US
1412207950,7869,,US,33146,FL,US
1412207954,85024,AZ,US,86301,AZ,US
1412207955,V0H1B0,BC,CA,T2J 5X7,AB,CA
1412207955,93721,,US,93711,CA,US
1412207955,80011,CO,US,83646,ID,US
1412207955,99016,WA,US,NULL,NULL,NULL
1412207955,82609,WY,US,80615,CO,US
1412207957,77004,TX,US,76033,TX,US
1412207958,7646,NJ,US,18433,PA,US
1412207958,55042,MN,US,55042,MN,US
1412207958,8873,NJ,US,7018,NJ,US
1412207959,98034,WA,US,98074,WA,US
1412207959,95682,CA,US,NULL,NULL,NULL
