capture_timestamp,payer_zip,payer_state,payer_country,payee_zip,payee_state,payee_country
1412121607,48108,MI,US,NULL,NULL,NULL
1412121607,77354,TX,US,77373,TX,US
1412121607,6801,CT,US,6776,CT,US
1412121608,23868,VA,US,11963,NY,US
1412121611,77004,TX,US,73105,OK,US
1412121614,7030,NJ,US,94901,CA,US
1412121614,92008,CA,US,98103,WA,US
1412121614,12564,NY,US,NULL,NULL,NULL
1412121614,N6H5V3,ON,CA,N6J4B7,ON,CA
1412121615,89502,NV,US,77845,TX,US
1412121615,63112,MO,US,60473,IL,US
1412121617,33326,FL,US,48067,MI,US
1412121617,76502,TX,US,48067,MI,US
1412121617,90815,CA,US,94920,CA,US
1412121617,92592,CA,US,NULL,NULL,NULL
1412121618,P0M3E0,ON,CA,P3Y1G1,ON,CA
1412121618,75094,,US,85338,AZ,US
1412121619,37641,TN,US,45236,OH,US
1412121619,92081,CA,US,91107,CA,US
1412121619,95616,,US,90024,CA,US
1412121620,90712,CA,US,91107,CA,US
1412121621,7003,NJ,US,7003,NJ,US
1412121621,36693,AL,US,21061,MD,US
1412121622,44646,OH,US,22314,VA,US
1412121623,98370,WA,US,31709,GA,US
1412121623,43123,,US,43204,OH,US
1412121624,60067,IL,US,60177,IL,US
1412121625,39401,MS,US,39272,MS,US
1412121626,32118,,US,32127,FL,US
1412121627,36541,AL,US,22102,VA,US
1412121628,94002,CA,US,22102,VA,US
1412121631,67039,,US,96080,CA,US
1412121631,28034,NC,US,8201,NJ,US
1412121631,7054,NJ,US,7830,NJ,US
1412121631,39175,MS,US,39272,MS,US
1412121632,S0L0Z0,SK,CA,S9V1L7,SK,CA
1412121635,8226,NJ,US,8226,NJ,US
1412121636,75094,,US,55313,MN,US
1412121637,77057,TX,US,NULL,NULL,NULL
1412121639,60563,IL,US,60612,IL,US
1412121641,27549,NC,US,22102,VA,US
1412121642,1354,MA,US,22102,VA,US
1412121645,47374,IN,US,22102,VA,US
1412121662,70634,LA,US,70659,LA,US
1412121665,7601,NJ,US,7621,NJ,US
1412121666,77047,TX,US,77084,TX,US
1412121666,32208,FL,US,32803,FL,US
1412121667,95500-000,,BR,91502,CA,US
1412121667,77399,TX,US,76710,TX,US
1412121667,98110,WA,US,27608,NC,US
1412121669,2302,MA,US,2301,MA,US
1412121669,91436,,US,90066,CA,US
1412121673,3467,NH,US,NULL,NULL,NULL
1412121673,99203,WA,US,84098,UT,US
1412121674,23112,VA,US,23112,VA,US
1412121674,32940,,US,32955,FL,US
1412121677,24151,VA,US,22963,VA,US
1412121677,90024,,US,90024,CA,US
1412121682,32531,,US,39759,MS,US
1412121683,40207,KY,US,40208,KY,US
1412121684,R3T1W1,MB,CA,NULL,NULL,NULL
1412121685,77380,TX,US,33912,FL,US
1412121686,32940,,US,55313,MN,US
1412121687,60026,IL,US,NULL,NULL,NULL
1412121687,6492,CT,US,6082,CT,US
1412121687,44138,OH,US,44121,OH,US
1412121689,21601,MD,US,21655,MD,US
1412121690,76522,TX,US,76266,TX,US
1412121690,M3 7EJ,Greater Manchester,GB,1057,MA,US
1412121691,54228,WI,US,54216,WI,US
1412121691,12019,,US,33435,FL,US
1412121692,60449,IL,US,30542,GA,US
1412121692,72762,AR,US,72204,AR,US
1412121693,30350,GA,US,92111,CA,US
1412121694,50010,IA,US,51012,IA,US
1412121694,28210,NC,US,28173,NC,US
1412121695,6770,CT,US,6489,CT,US
1412121695,81504,,US,82009,WY,US
1412121696,19008,PA,US,8051,NJ,US
1412121696,91361,CA,US,NULL,NULL,NULL
1412121696,10926,NY,US,6403,CT,US
1412121697,54911,WI,US,NULL,NULL,NULL
1412121698,19064,,US,90808,CA,US
1412121698,91423,CA,US,15064,PA,US
1412121699,46303,IN,US,46368,IN,US
1412121699,1605,MA,US,1503,MA,US
1412121699,98117,,US,98072,WA,US
1412121701,3431,NH,US,3781,NH,US
1412121703,32824,FL,US,34772,FL,US
1412121705,46815,,US,46544,IN,US
1412121705,80401,,US,76109,TX,US
1412121706,34471,FL,US,34285,FL,US
1412121706,7040,NJ,US,7079,NJ,US
1412121707,59801,MT,US,97062,OR,US
1412121708,78223,TX,US,78245,TX,US
1412121726,92802e ,,US,90620,CA,US
1412121726,44134,OH,US,43026,OH,US
1412121726,33707,FL,US,33183,FL,US
1412121727,5081,SA,AU,33764,FL,US
1412121727,47725,IN,US,4572,ME,US
1412121727,70740,,US,70005,LA,US
1412121730,85202,,US,85018,AZ,US
1412121730,92584,CA,US,76266,TX,US
1412121730,44039,OH,US,43201,OH,US
1412121734,10044,NY,US,NULL,NULL,NULL
1412121734,32065,FL,US,80203,CO,US
1412121734,19064,PA,US,NULL,NULL,NULL
1412121735,77004,TX,US,85024,AZ,US
1412121735,33572,FL,US,33609,FL,US
1412121735,52404,IA,US,52402,IA,US
1412121736,10003,NY,US,94578,CA,US
1412121737,70003,LA,US,70001,LA,US
1412121737,93420,,US,91436,CA,US
1412121738,76133,TX,US,NULL,NULL,NULL
1412121738,91505,CA,US,95630,CA,US
1412121740,2215,MA,US,6403,CT,US
1412121740,70047,LA,US,70301,LA,US
1412121741,1778,MA,US,2420,MA,US
1412121744,33967,FL,US,6905,CT,US
1412121744,37043,,US,17347,PA,US
1412121745,70740,,US,55313,MN,US
1412121745,14221,NY,US,20007,DC,US
1412121745,33615,FL,US,33549,FL,US
1412121746,32118,FL,US,23224,VA,US
1412121747,7003,NJ,US,7040,NJ,US
1412121749,97322,OR,US,97322,OR,US
1412121751,22153,VA,US,22102,VA,US
1412121751,92407,CA,US,75407,TX,US
1412121752,3275,NH,US,22102,VA,US
1412121755,00803-4406,VI,VI,22102,VA,US
1412121785,8016,NJ,US,76710,TX,US
1412121785,75225,,US,76109,TX,US
1412121786,35062,,US,36064,AL,US
1412121786,54220,WI,US,54216,WI,US
1412121786,33446,FL,US,27608,NC,US
1412121790,78404,TX,US,35756,AL,US
1412121793,94521,CA,US,94520,CA,US
1412121793,28213,,US,28205,NC,US
1412121793,4005,ME,US,62025,IL,US
1412121793,32404,,US,36064,AL,US
1412121794,97219,,US,97223,OR,US
1412121794,88101,NM,US,32317,FL,US
